subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10591488,4786,4351,12945,"{""id"":""19"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA4.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2a284bf0-85a7-4c61-b73b-e7f689fc92af.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1b1ecbd5-20fa-4cfe-a4b4-684511a0a9c9.png""}",7,,
10591488,4786,4459,12945,"{""id"":""19"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA4.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2a284bf0-85a7-4c61-b73b-e7f689fc92af.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1b1ecbd5-20fa-4cfe-a4b4-684511a0a9c9.png""}",0,,
10591489,4786,4351,12945,"{""id"":""20"",""image1"":""Integrals.jpg"",""image2"":""IntegralA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4f7ba9aa-6037-478a-a4bc-eed43f4d589b.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/78a69d65-e14b-49bd-a9c6-bdff918c7bac.png""}",7,,
10591489,4786,4459,12945,"{""id"":""20"",""image1"":""Integrals.jpg"",""image2"":""IntegralA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4f7ba9aa-6037-478a-a4bc-eed43f4d589b.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/78a69d65-e14b-49bd-a9c6-bdff918c7bac.png""}",0,,
10591490,4786,4351,12945,"{""id"":""21"",""image1"":""Integrals.jpg"",""image2"":""IntegralA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8323e1bc-2a45-4818-bdd6-c0f583cc23ec.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ecffe75a-5bac-4ec8-935a-8c1e7a55d0c6.png""}",7,,
10591490,4786,4459,12945,"{""id"":""21"",""image1"":""Integrals.jpg"",""image2"":""IntegralA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8323e1bc-2a45-4818-bdd6-c0f583cc23ec.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ecffe75a-5bac-4ec8-935a-8c1e7a55d0c6.png""}",0,,
10591491,4786,4351,12945,"{""id"":""22"",""image1"":""Integrals.jpg"",""image2"":""IntegralA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/439989ca-114a-4d61-9f5c-17fdfe8d6d39.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d7a42366-c842-4abd-ad9d-b836b5e4eb20.png""}",7,,
10591491,4786,4459,12945,"{""id"":""22"",""image1"":""Integrals.jpg"",""image2"":""IntegralA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/439989ca-114a-4d61-9f5c-17fdfe8d6d39.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/d7a42366-c842-4abd-ad9d-b836b5e4eb20.png""}",0,,
10591492,4786,4351,12945,"{""id"":""23"",""image1"":""NASA.jpg"",""image2"":""NASAA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3b8d87d9-3e2a-40b8-a3a7-270c965192a6.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/97adf8c6-7527-4491-813e-c56e3ddedec9.png""}",7,,
10591492,4786,4459,12945,"{""id"":""23"",""image1"":""NASA.jpg"",""image2"":""NASAA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3b8d87d9-3e2a-40b8-a3a7-270c965192a6.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/97adf8c6-7527-4491-813e-c56e3ddedec9.png""}",0,,
